Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Lund;53430;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1760-02-01 00:00:01;1760-03-01 00:00:00;1760-02;-1.0;G
1760-03-01 00:00:01;1760-04-01 00:00:00;1760-03;0.7;G
1760-04-01 00:00:01;1760-05-01 00:00:00;1760-04;6.1;G
1760-05-01 00:00:01;1760-06-01 00:00:00;1760-05;11.8;G
1760-06-01 00:00:01;1760-07-01 00:00:00;1760-06;19.2;G
1760-07-01 00:00:01;1760-08-01 00:00:00;1760-07;18.2;G
1760-08-01 00:00:01;1760-09-01 00:00:00;1760-08;17.1;G
1760-09-01 00:00:01;1760-10-01 00:00:00;1760-09;15.3;G
1760-10-01 00:00:01;1760-11-01 00:00:00;1760-10;8.5;G
1760-11-01 00:00:01;1760-12-01 00:00:00;1760-11;4.0;G
1760-12-01 00:00:01;1761-01-01 00:00:00;1760-12;2.5;G
1761-01-01 00:00:01;1761-02-01 00:00:00;1761-01;0.6;G
1761-02-01 00:00:01;1761-03-01 00:00:00;1761-02;1.2;G
1761-03-01 00:00:01;1761-04-01 00:00:00;1761-03;5.0;G
1761-04-01 00:00:01;1761-05-01 00:00:00;1761-04;6.8;G
1761-05-01 00:00:01;1761-06-01 00:00:00;1761-05;12.9;G
1761-06-01 00:00:01;1761-07-01 00:00:00;1761-06;18.0;G
1761-07-01 00:00:01;1761-08-01 00:00:00;1761-07;17.3;G
1761-08-01 00:00:01;1761-09-01 00:00:00;1761-08;18.3;G
1761-09-01 00:00:01;1761-10-01 00:00:00;1761-09;15.2;G
1761-10-01 00:00:01;1761-11-01 00:00:00;1761-10;6.3;G
1761-11-01 00:00:01;1761-12-01 00:00:00;1761-11;5.1;G
1761-12-01 00:00:01;1762-01-01 00:00:00;1761-12;-0.6;G
1762-01-01 00:00:01;1762-02-01 00:00:00;1762-01;1.1;G
1762-02-01 00:00:01;1762-03-01 00:00:00;1762-02;-0.7;G
1762-03-01 00:00:01;1762-04-01 00:00:00;1762-03;-1.8;G
1762-04-01 00:00:01;1762-05-01 00:00:00;1762-04;8.1;G
1762-05-01 00:00:01;1762-06-01 00:00:00;1762-05;11.5;G
1762-06-01 00:00:01;1762-07-01 00:00:00;1762-06;17.0;G
1762-07-01 00:00:01;1762-08-01 00:00:00;1762-07;17.4;G
1762-08-01 00:00:01;1762-09-01 00:00:00;1762-08;14.2;G
1762-09-01 00:00:01;1762-10-01 00:00:00;1762-09;12.4;G
1762-10-01 00:00:01;1762-11-01 00:00:00;1762-10;4.8;G
1762-11-01 00:00:01;1762-12-01 00:00:00;1762-11;4.1;G
1762-12-01 00:00:01;1763-01-01 00:00:00;1762-12;0.5;G
1763-01-01 00:00:01;1763-02-01 00:00:00;1763-01;-3.9;G
1763-02-01 00:00:01;1763-03-01 00:00:00;1763-02;0.5;G
1763-03-01 00:00:01;1763-04-01 00:00:00;1763-03;0.5;G
1763-04-01 00:00:01;1763-05-01 00:00:00;1763-04;4.6;G
1763-05-01 00:00:01;1763-06-01 00:00:00;1763-05;11.2;G
1763-06-01 00:00:01;1763-07-01 00:00:00;1763-06;14.9;G
1763-07-01 00:00:01;1763-08-01 00:00:00;1763-07;17.8;G
1763-08-01 00:00:01;1763-09-01 00:00:00;1763-08;16.9;G
1763-09-01 00:00:01;1763-10-01 00:00:00;1763-09;11.5;G
1763-10-01 00:00:01;1763-11-01 00:00:00;1763-10;7.7;G
1763-11-01 00:00:01;1763-12-01 00:00:00;1763-11;2.8;G
1763-12-01 00:00:01;1764-01-01 00:00:00;1763-12;3.0;G
1764-01-01 00:00:01;1764-02-01 00:00:00;1764-01;-0.1;G
1764-02-01 00:00:01;1764-03-01 00:00:00;1764-02;3.0;G
1764-03-01 00:00:01;1764-04-01 00:00:00;1764-03;1.4;G
1764-04-01 00:00:01;1764-05-01 00:00:00;1764-04;5.6;G
1764-05-01 00:00:01;1764-06-01 00:00:00;1764-05;12.5;G
1764-06-01 00:00:01;1764-07-01 00:00:00;1764-06;13.6;G
1764-07-01 00:00:01;1764-08-01 00:00:00;1764-07;20.5;G
1764-08-01 00:00:01;1764-09-01 00:00:00;1764-08;16.3;G
1764-09-01 00:00:01;1764-10-01 00:00:00;1764-09;11.8;G
1764-10-01 00:00:01;1764-11-01 00:00:00;1764-10;7.6;G
1764-11-01 00:00:01;1764-12-01 00:00:00;1764-11;2.4;G
1764-12-01 00:00:01;1765-01-01 00:00:00;1764-12;0.1;G
1765-01-01 00:00:01;1765-02-01 00:00:00;1765-01;-0.3;G
1765-02-01 00:00:01;1765-03-01 00:00:00;1765-02;-2.3;G
1765-03-01 00:00:01;1765-04-01 00:00:00;1765-03;2.9;G
1765-04-01 00:00:01;1765-05-01 00:00:00;1765-04;6.9;G
1765-05-01 00:00:01;1765-06-01 00:00:00;1765-05;10.2;G
1765-06-01 00:00:01;1765-07-01 00:00:00;1765-06;15.3;G
1765-07-01 00:00:01;1765-08-01 00:00:00;1765-07;15.9;G
1765-08-01 00:00:01;1765-09-01 00:00:00;1765-08;16.9;G
1765-09-01 00:00:01;1765-10-01 00:00:00;1765-09;11.9;G
1765-10-01 00:00:01;1765-11-01 00:00:00;1765-10;9.0;G
1765-11-01 00:00:01;1765-12-01 00:00:00;1765-11;4.5;G
1765-12-01 00:00:01;1766-01-01 00:00:00;1765-12;-0.2;G
1766-01-01 00:00:01;1766-02-01 00:00:00;1766-01;-1.8;G
1766-02-01 00:00:01;1766-03-01 00:00:00;1766-02;-2.7;G
1766-03-01 00:00:01;1766-04-01 00:00:00;1766-03;2.1;G
1766-04-01 00:00:01;1766-05-01 00:00:00;1766-04;8.1;G
1766-05-01 00:00:01;1766-06-01 00:00:00;1766-05;11.9;G
1766-06-01 00:00:01;1766-07-01 00:00:00;1766-06;17.3;G
1766-07-01 00:00:01;1766-08-01 00:00:00;1766-07;18.8;G
1766-08-01 00:00:01;1766-09-01 00:00:00;1766-08;17.2;G
1766-09-01 00:00:01;1766-10-01 00:00:00;1766-09;13.8;G
1766-10-01 00:00:01;1766-11-01 00:00:00;1766-10;8.7;G
1766-11-01 00:00:01;1766-12-01 00:00:00;1766-11;5.8;G
