Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Visby Flygplats;78400;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-11-01 00:00:00;2023-05-31 23:59:59;41.05;57.6678;18.3516

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1950-12-01 00:00:01;1951-01-01 00:00:00;1950-12;0.8;Y
1951-01-01 00:00:01;1951-02-01 00:00:00;1951-01;-1.4;Y
1951-02-01 00:00:01;1951-03-01 00:00:00;1951-02;-1.2;Y
1951-03-01 00:00:01;1951-04-01 00:00:00;1951-03;-2.3;Y
1951-04-01 00:00:01;1951-05-01 00:00:00;1951-04;4.8;Y
1951-05-01 00:00:01;1951-06-01 00:00:00;1951-05;6.7;Y
1951-06-01 00:00:01;1951-07-01 00:00:00;1951-06;13.5;Y
1951-07-01 00:00:01;1951-08-01 00:00:00;1951-07;15.8;Y
1951-08-01 00:00:01;1951-09-01 00:00:00;1951-08;17.4;Y
1951-09-01 00:00:01;1951-10-01 00:00:00;1951-09;13.7;Y
1951-10-01 00:00:01;1951-11-01 00:00:00;1951-10;8.3;Y
1951-11-01 00:00:01;1951-12-01 00:00:00;1951-11;5.2;Y
1951-12-01 00:00:01;1952-01-01 00:00:00;1951-12;3.6;Y
1952-01-01 00:00:01;1952-02-01 00:00:00;1952-01;0.1;Y
1952-02-01 00:00:01;1952-03-01 00:00:00;1952-02;-1.1;Y
1952-03-01 00:00:01;1952-04-01 00:00:00;1952-03;-2.8;Y
1952-04-01 00:00:01;1952-05-01 00:00:00;1952-04;6.0;Y
1952-05-01 00:00:01;1952-06-01 00:00:00;1952-05;7.4;Y
1952-06-01 00:00:01;1952-07-01 00:00:00;1952-06;12.9;Y
1952-07-01 00:00:01;1952-08-01 00:00:00;1952-07;15.8;Y
1952-08-01 00:00:01;1952-09-01 00:00:00;1952-08;15.1;Y
1952-09-01 00:00:01;1952-10-01 00:00:00;1952-09;9.8;Y
1952-10-01 00:00:01;1952-11-01 00:00:00;1952-10;6.0;Y
1952-11-01 00:00:01;1952-12-01 00:00:00;1952-11;1.5;Y
1952-12-01 00:00:01;1953-01-01 00:00:00;1952-12;0.3;Y
1953-01-01 00:00:01;1953-02-01 00:00:00;1953-01;-0.6;Y
1953-02-01 00:00:01;1953-03-01 00:00:00;1953-02;-2.3;Y
