Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Lund;53430;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1755-04-01 07:00:01;1755-05-01 07:00:00;1755-04;38.0;G
1755-05-01 07:00:01;1755-06-01 07:00:00;1755-05;29.0;G
1755-06-01 07:00:01;1755-07-01 07:00:00;1755-06;6.0;G
1755-07-01 07:00:01;1755-08-01 07:00:00;1755-07;39.0;G
1755-08-01 07:00:01;1755-09-01 07:00:00;1755-08;59.0;G
1755-09-01 07:00:01;1755-10-01 07:00:00;1755-09;49.0;G
1755-10-01 07:00:01;1755-11-01 07:00:00;1755-10;23.0;G
1755-11-01 07:00:01;1755-12-01 07:00:00;1755-11;63.0;G
1755-12-01 07:00:01;1756-01-01 07:00:00;1755-12;32.0;G
1756-01-01 07:00:01;1756-02-01 07:00:00;1756-01;51.0;G
1756-02-01 07:00:01;1756-03-01 07:00:00;1756-02;18.0;G
1756-03-01 07:00:01;1756-04-01 07:00:00;1756-03;14.0;G
1756-04-01 07:00:01;1756-05-01 07:00:00;1756-04;57.0;G
1756-05-01 07:00:01;1756-06-01 07:00:00;1756-05;32.0;G
1756-06-01 07:00:01;1756-07-01 07:00:00;1756-06;28.0;G
1756-07-01 07:00:01;1756-08-01 07:00:00;1756-07;39.0;G
1756-08-01 07:00:01;1756-09-01 07:00:00;1756-08;52.0;G
1756-09-01 07:00:01;1756-10-01 07:00:00;1756-09;5.0;Y
1756-10-01 07:00:01;1756-11-01 07:00:00;1756-10;60.0;Y
1756-11-01 07:00:01;1756-12-01 07:00:00;1756-11;13.0;Y
1756-12-01 07:00:01;1757-01-01 07:00:00;1756-12;14.0;Y
1757-01-01 07:00:01;1757-02-01 07:00:00;1757-01;22.0;Y
1757-02-01 07:00:01;1757-03-01 07:00:00;1757-02;10.0;Y
1757-03-01 07:00:01;1757-04-01 07:00:00;1757-03;34.0;Y
1757-04-01 07:00:01;1757-05-01 07:00:00;1757-04;36.0;Y
1757-05-01 07:00:01;1757-06-01 07:00:00;1757-05;67.0;Y
1757-06-01 07:00:01;1757-07-01 07:00:00;1757-06;24.0;Y
1757-07-01 07:00:01;1757-08-01 07:00:00;1757-07;36.0;Y
1757-08-01 07:00:01;1757-09-01 07:00:00;1757-08;84.0;Y
1757-09-01 07:00:01;1757-10-01 07:00:00;1757-09;31.0;Y
1757-10-01 07:00:01;1757-11-01 07:00:00;1757-10;30.0;Y
1757-11-01 07:00:01;1757-12-01 07:00:00;1757-11;74.0;Y
1757-12-01 07:00:01;1758-01-01 07:00:00;1757-12;23.0;Y
1758-01-01 07:00:01;1758-02-01 07:00:00;1758-01;5.0;Y
1758-02-01 07:00:01;1758-03-01 07:00:00;1758-02;24.0;Y
